Name,Industry,Industry 2,Industry 3,Country,Description,Domain,company_email,phone,Founder,Funding type,Last Equity Funding Amount,Funding Type,Total Equity Funding Amount,Investory,Investor 2,Investor 3,Investor 4 ,Investor,Monthly Visits,Average Visits (6 months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank
Soldera,Artificial Intelligence (AI),Energy Management,FinTech,Estonia,Soldera enables renewable energy producers to earn additional income through an automatic guarantee of the origin trading system.,www.soldera.org/,support@soldera.org,—,Stenver Jerkku,Seed,"€25,00,000.00",Seed,"$55,02,381.00",Lifeline Ventures,Skaala,Lemonade Stand,,,"1,225","3,200.83",-43.81%,176,-69.86%,-4.16%,54.69%,-32.06%,"59,47,543"
Terrain Bio,Artificial Intelligence (AI),Biotechnology,Therapeutics,United States,Terrain BioSciences accelerates RNA-based therapeutics and vaccine development using AI and proprietary platforms.,www.terrainbiosciences.com,info@terrainbiosciences.com,—,,Seed,"$90,00,000.00",Seed,"$90,00,000.00",Bruker,Olive Capital,Hawktail Management,Brainstorm Ventures,John Maraganore,—,—,—,—,—,—,—,—,—
DocStation,Electronic Health Record (EHR),Health Care,Pharmaceutical,United States,DocStation is a cloud-based care platform ushering in a new era of value-based healthcare.,www.docstation.co/,hi@docstation.co,—,Samm Anderegg,Seed,—,Seed,"$34,30,000.00",Alumni Ventures,8VC,Techstars,Right Side Capital Management,UnityPoint Health Ventures,"1,848","3,552.33",-49.13%,468,181.93%,-12.34%,67.64%,6.79%,"49,76,745"
TENYX,Artificial Intelligence (AI),Web Development,,United States,Tenyx is a next generation of voice-based intelligent technologies using its patented AI technology.,www.tenyx.com,info@tenyx.com,—,Itamar Arel,M&A,—,Venture - Series Unknown,"$1,50,00,000.00",Point72 Ventures,Cota Capital,StageOne Ventures,Coelius Capital,SCB 10X,174,—,—,304,—,—,16.67%,—,"1,51,05,097"
Coherence,Information Technology,Software,,United States,Coherence is a software development company that empowers every company's software team.,www.withcoherence.com/,—,9145897710,Zan Faruqui,Seed,—,Seed,"$73,49,993.00",Correlation Ventures,First Round Capital,25madison,Company Ventures,Flybridge,"10,866","4,473.83",179.26%,39,-66.67%,35.44%,34.45%,-57.46%,"16,63,999"
Dror Ortho-Design,Artificial Intelligence (AI),Dental,Health Care,Israel,Dror Ortho-Design develops an innovative AI-driven platform for painless and minimally invasive smile correction.,www.aerodentis.com/,info@aerodentis.com,+972 (0) 74-700-6700,,IPO,"$55,00,000.00",Post-IPO Equity,"$2,82,80,599.00",Israel Innovation Authority,Wavemaker Partners,AIGH Capital Management,,,54,—,—,472,—,—,0%,—,"2,35,03,788"
Refraction,Automotive,SaaS,Software,United States,Bend the rules of buying a car,shoprefraction.com,jasonbartz@refractionmotorcar.com,716-228-9153,Jason Schwinger,Seed,"$2,50,000.00",Pre-Seed,"$3,50,000.00",Launch NY,University at Buffalo,,,,106,—,146.51%,197,—,83.96%,16.04%,-83.96%,"1,86,46,830"
QA.tech,Artificial Intelligence (AI),Developer Tools,Quality Assurance,Sweden,SaaS platform for autonomous testing,qa.tech,daniel@qa.tech,—,Marcus Carloni,Seed,"€30,00,000.00",Seed,"$42,58,093.00",byFounders,PROfounders Capital,Curiosity VC,Vilhelm von Ehrenheim,Mads Johnsen,"7,332","6,417.17",-46.83%,269,-61.18%,-9.66%,47.01%,-8.88%,"22,41,292"
Axle Labs,B2B,Developer APIs,FinTech,United States,Axle Labs is an insurance data open platform that helps to link policies and verify and monitor ongoing insurance coverage.,axle.insure,hello@axle.insure,—,Cameron Duncan,Seed,"$40,00,000.00",Seed,"$45,00,000.00",Y Combinator,Contrary,Rebel Fund,Soma Capital,Gradient,"29,041","40,163",24.15%,815,-6.54%,-24.94%,94.2%,11.16%,"7,78,225"
Industrial Data Labs,Artificial Intelligence (AI),,,United States,"Pipe, Valve, Fitting, and Flange Industry's AI-Powered Inside Sales Copilot",www.industrialdatalabs.com,hello@industrialdatalabs.com,—,,Seed,"$15,00,000.00",Seed,"$15,00,000.00",Marshal Kushniruk,,,,,227,223.33,-13.69%,19,-99.03%,-46.39%,88.55%,19.44%,"1,33,20,294"
