section,metric,count
funnel,total_enriched_sites,998
funnel,invalid_parked_dead,155
funnel,ungraded_incomplete,48
funnel,gradeable_rows,795
funnel,skip_shutdown_no_message,5
funnel,worth_reaching_out,790
funnel,contact_found,630
funnel,awaiting_contact,160
worth_reaching_by_signal,design,424
worth_reaching_by_signal,content,272
worth_reaching_by_signal,performance,93
worth_reaching_by_signal,other,1
contacts_by_role,founder/CEO,518
contacts_by_role,marketing/brand/growth,50
contacts_by_role,other,47
contacts_by_role,product/tech/design,12
contacts_by_role,digital/content/web,2
contacts_by_role,comms/PR/social,1
